"pais";"Location";"alpha.2";"lng";"lat"
"United Kingdom";"SIZEWELL";"GB";"1.61794";"52.21405"
"United Kingdom";"DUNBAR";"GB";"-2.51418";"56.00062"
"United Kingdom";"MERIONETHSHIRE";"GB";"-3.83333";"52.83333"
"United Kingdom";"WINDSCALE";"GB";NA;NA
"United Kingdom";"DORCHESTER";"GB";"-2.43333";"50.71667"
"United Kingdom";"ANGLESEY";"GB";"-4.33333";"53.28333"
"United Kingdom";"Romney Marsh";"GB";"0.91504";"51.02299"
"United Kingdom";"Leiston";"GB";"1.57757";"52.20611"
"United Kingdom";"HINKLEY";"GB";"-3.13035";"51.20871"
"United States of America";"POPE";"US";"-93.13379";"35.27842"
"United States of America";"SHIPPINGPORT";"US";"-80.41395";"40.63201"
"United States of America";"CHARLEVOIX";"US";"-85.24017";"45.26715"
"United States of America";"Rincon";"US";"-81.23539";"32.29603"
"United States of America";"BRAIDWOOD";"US";"-88.21228";"41.26503"
"United States of America";"DECATUR";"US";"-88.9548";"39.84031"
"United States of America";"SOUTHPORT";"US";"-87.82119";"42.58474"
"United States of America";"BYRON";"US";"-89.25566";"42.12697"
"United States of America";"FULTON";"US";"-84.38798";"33.749"
"United States of America";"LUSBY";"US";"-76.45523";"38.41068"
"United States of America";"YORK COUNTY";"US";"-73.94958";"40.6501"
"United States of America";"HART TOWNSHIP";"US";"-89.4476";"39.91394"
"United States of America";"GLEN ROSE";"US";"-97.75531";"32.23459"
"United States of America";"BROWNVILLE";"US";"-149.90028";"61.21806"
"United States of America";"";"US";"-118.24368";"34.05223"
"United States of America";"Parr";"US";"-88.12087";"39.02088"
"United States of America";"OTTAWA";"US";"-82.94128";"41.49675"
"United States of America";"AVILA BEACH";"US";"-120.73184";"35.17998"
"United States of America";"BRIDGMAN";"US";"-86.55697";"41.9431"
"United States of America";"MORRIS";"US";"-74.48154";"40.79677"
"United States of America";"PALO";"US";"-122.14302";"37.44188"
"United States of America";"LAGOONA BEACH";"US";"-80.79658";"26.94869"
"United States of America";"DOTHAN";"US";"-85.39049";"31.22323"
"United States of America";"OSWEGO";"US";"-75.90984";"43.2032"
"United States of America";"FORT CALHOUN";"US";"-85.78127";"33.72204"
"United States of America";"PLATTEVILLE";"US";"-90.47846";"42.73416"
"United States of America";"PORT GIBSON";"US";"-90.98399";"31.96099"
"United States of America";"HARTSVILLE";"US";"-80.11812";"34.40515"
"United States of America";"HADDAM NECK";"US";"-72.49092";"41.48204"
"United States of America";"BAXLEY";"US";"-82.34846";"31.77825"
"United States of America";"SALEM";"US";"-123.0351";"44.9429"
"United States of America";"EUREKA";"US";"-116.26856";"39.98389"
"United States of America";"BUCHANAN";"US";"-94.84663";"39.76861"
"United States of America";"CARLTON";"US";"-92.45936";"46.72161"
"United States of America";"GENOA";"US";"-88.32815";"42.49835"
"United States of America";"MARSEILLES";"US";"-88.70813";"41.33087"
"United States of America";"LIMERICK";"US";"-75.56213";"40.2376"
"United States of America";"WISCASSET";"US";"-69.71198";"43.96296"
"United States of America";"CORNELIUS";"US";"-123.05983";"45.51984"
"United States of America";"WATERFORD";"US";"-83.41181";"42.69303"
"United States of America";"MONTICELLO";"US";"-93.79414";"45.30552"
"United States of America";"SCRIBA";"US";"-76.43049";"43.46535"
"United States of America";"MINERAL";"US";"-118.43521";"38.53881"
"United States of America";"OCONEE";"US";"-83.43705";"33.83494"
"United States of America";"FORKED RIVER";"US";"-74.19014";"39.83984"
"United States of America";"SOUTH HAVEN";"US";"-73.05066";"41.48593"
"United States of America";"WINTERSBURG";"US";"-112.86795";"33.42448"
"United States of America";"PERRY";"US";"-92.93147";"34.94737"
"United States of America";"PLYMOUTH";"US";"-71.01838";"42.08343"
"United States of America";"TWO CREEKS";"US";"-87.56314";"44.30222"
"United States of America";"RED WING";"US";"-92.5338";"44.56247"
"United States of America";"CORDOVA";"US";"-144.50056";"61.50056"
"United States of America";"ONTARIO";"US";"-117.65089";"34.06334"
