"pais";"alpha.2";"Location"
"United States of America";"US";"FORT PIERCE"
"United States of America";"US";"GRAVEL NECK"
"United States of America";"US";"DAUPHIN"
"United States of America";"US";"PRESCOTT"
"United States of America";"US";"FLORIDA CITY"
"United States of America";"US";"VERNON"
"United States of America";"US";"JENKINSVILLE"
"United States of America";"US";"WAYNESBORO"
"United States of America";"US";"TAFT"
"United States of America";"US";"SPRING CITY"
"United States of America";"US";"BURLINGTON"
"United States of America";"US";"BENTON"
"United States of America";"US";"ROWE"
"United States of America";"US";"ZION"
"United States of America";"US";"Lincoln"
"United States of America";"US";"Pleasanton, Sunol"
"United States of America";"US";"Piqua"
"Taiwan, China";NA;"SHIHMEN HSIANG"
"Taiwan, China";NA;"KUOSHENG"
"Taiwan, China";NA;"HENG CHUN"
